input,Task Priority,Task Complexity,Required Skills,Deadline,NTS_skills,importance
"Design and deploy a machine learning model using CSS and AWS to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Business Intelligence and Big Data teams. Target completion date: engineering.",low,5,"CSS, AWS, Business Intelligence, Big Data",11/17/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 1, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Develop an interactive dashboard using JIRA and JavaScript to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the ETL and CRM teams to finalize metrics.
The project is due by BI.",high,7,"JIRA, JavaScript, ETL, CRM",12/11/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with Flask and SQL, integrating campaign data from Problem Solving.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the NumPy team regularly. Complete this by BI.",medium,5,"Flask, SQL, Problem Solving, NumPy",11/13/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Python to optimize performance and scalability.
Work will include integrating with Marketing and updating deployment using Django.
Coordinate with stakeholders in the PyTorch department. Deadline: sales.",medium,9,"Python, Marketing, Django, PyTorch",11/26/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using CRM and Azure to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Scrum and Problem Solving teams to finalize metrics.
The project is due by marketing.",low,4,"CRM, Azure, Scrum, Problem Solving",11/30/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Build an internal web app using GraphQL, integrated with Security for authentication and Business Intelligence for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the UI/UX Design team. Final submission expected by legal.",low,7,"GraphQL, Security, Business Intelligence, UI/UX Design",11/10/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 2, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using TensorFlow and PyTorch to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Cloud Computing and Django teams. Target completion date: BI.",medium,8,"TensorFlow, PyTorch, Cloud Computing, Django",12/12/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Design and deploy a machine learning model using MongoDB and JavaScript to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the DevOps and CI/CD teams. Target completion date: product.",medium,5,"MongoDB, JavaScript, DevOps, CI/CD",11/23/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using Data Analysis and Excel to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Communication and Problem Solving teams to finalize metrics.
The project is due by BI.",medium,8,"Data Analysis, Excel, Communication, Problem Solving",11/20/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using FastAPI and Scrum to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Node.js and SQL teams. Target completion date: design.",low,9,"FastAPI, Scrum, Node.js, SQL",12/4/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 1, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 2}"
"Design and deploy a machine learning model using Communication and Pandas to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Agile and UI/UX Design teams. Target completion date: marketing.",high,3,"Communication, Pandas, Agile, UI/UX Design",11/18/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 1, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with JavaScript and FastAPI, integrating campaign data from PyTorch.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the SQL team regularly. Complete this by BI.",medium,7,"JavaScript, FastAPI, PyTorch, SQL",11/21/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Build an internal web app using Flask, integrated with Machine Learning for authentication and Performance Optimization for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the TypeScript team. Final submission expected by BI.",medium,6,"Flask, Machine Learning, Performance Optimization, TypeScript",12/6/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using Debugging and PyTorch to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Figma and HTML teams to finalize metrics.
The project is due by marketing.",medium,5,"Debugging, PyTorch, Figma, HTML",11/28/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Azure to optimize performance and scalability.
Work will include integrating with Node.js and updating deployment using JavaScript.
Coordinate with stakeholders in the Agile department. Deadline: product.",medium,7,"Azure, Node.js, JavaScript, Agile",12/12/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 1, ""planning"": 1, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Communication and Marketing to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the JIRA and Project Management teams to finalize metrics.
The project is due by marketing.",low,6,"Communication, Marketing, JIRA, Project Management",11/17/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Collaboration and Docker to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Excel and Security teams to finalize metrics.
The project is due by product.",medium,6,"Collaboration, Docker, Excel, Security",11/16/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 2, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 3}"
"Design and deploy a machine learning model using MongoDB and Node.js to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Excel and Data Analysis teams. Target completion date: design.",low,8,"MongoDB, Node.js, Excel, Data Analysis",11/17/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 1, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Build an internal web app using Communication, integrated with SQL for authentication and Business Intelligence for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the REST APIs team. Final submission expected by sales.",medium,6,"Communication, SQL, Business Intelligence, REST APIs",11/13/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Docker and Security to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the AWS and Problem Solving teams to finalize metrics.
The project is due by sales.",medium,6,"Docker, Security, AWS, Problem Solving",11/21/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 2, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with JavaScript to optimize performance and scalability.
Work will include integrating with SQL and updating deployment using PyTorch.
Coordinate with stakeholders in the Docker department. Deadline: marketing.",medium,9,"JavaScript, SQL, PyTorch, Docker",11/19/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with Python and Figma, integrating campaign data from CRM.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Scrum team regularly. Complete this by legal.",high,9,"Python, Figma, CRM, Scrum",11/16/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using GraphQL and FastAPI to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Problem Solving and ETL teams. Target completion date: sales.",high,8,"GraphQL, FastAPI, Problem Solving, ETL",11/28/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Scrum, integrated with Collaboration for authentication and Kubernetes for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Data Analysis team. Final submission expected by marketing.",medium,7,"Scrum, Collaboration, Kubernetes, Data Analysis",11/18/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with Collaboration and Marketing, integrating campaign data from Leadership.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Kubernetes team regularly. Complete this by marketing.",high,8,"Collaboration, Marketing, Leadership, Kubernetes",11/17/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using PyTorch and Figma to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Python and Big Data teams. Target completion date: sales.",low,7,"PyTorch, Figma, Python, Big Data",11/23/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 1, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using Debugging and Power BI to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the MongoDB and CSS teams to finalize metrics.
The project is due by BI.",medium,9,"Debugging, Power BI, MongoDB, CSS",11/17/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using Machine Learning and Django to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the React and Communication teams. Target completion date: product.",high,4,"Machine Learning, Django, React, Communication",11/28/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 2, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 5, ""stakeholder_mgmt"": 4}"
"Build an internal web app using NumPy, integrated with ETL for authentication and SEO for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the DevOps team. Final submission expected by BI.",high,6,"NumPy, ETL, SEO, DevOps",11/22/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Machine Learning to optimize performance and scalability.
Work will include integrating with Leadership and updating deployment using Cloud Computing.
Coordinate with stakeholders in the SEO department. Deadline: BI.",medium,5,"Machine Learning, Leadership, Cloud Computing, SEO",11/22/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Flask, integrated with SQL for authentication and Figma for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Scrum team. Final submission expected by HR.",medium,5,"Flask, SQL, Figma, Scrum",12/10/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Build an internal web app using Debugging, integrated with Kubernetes for authentication and Scrum for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the CSS team. Final submission expected by design.",medium,9,"Debugging, Kubernetes, Scrum, CSS",11/10/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 3, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with Communication and Docker, integrating campaign data from Flask.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the FastAPI team regularly. Complete this by sales.",medium,6,"Communication, Docker, Flask, FastAPI",11/23/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using React, integrated with NLP for authentication and GraphQL for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Excel team. Final submission expected by legal.",medium,6,"React, NLP, GraphQL, Excel",12/1/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Business Intelligence, integrated with Power BI for authentication and Testing for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Collaboration team. Final submission expected by design.",medium,9,"Business Intelligence, Power BI, Testing, Collaboration",11/23/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using MongoDB and CSS to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Collaboration and Marketing teams. Target completion date: marketing.",high,9,"MongoDB, CSS, Collaboration, Marketing",11/16/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Pandas and Machine Learning, integrating campaign data from Django.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Flask team regularly. Complete this by engineering.",high,3,"Pandas, Machine Learning, Django, Flask",11/23/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with UI/UX Design and Marketing, integrating campaign data from Power BI.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the TypeScript team regularly. Complete this by sales.",medium,8,"UI/UX Design, Marketing, Power BI, TypeScript",11/8/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Python, integrated with Node.js for authentication and FastAPI for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the React team. Final submission expected by legal.",medium,9,"Python, Node.js, FastAPI, React",11/20/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using Python and Agile to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the GraphQL and JavaScript teams to finalize metrics.
The project is due by sales.",low,9,"Python, Agile, GraphQL, JavaScript",11/28/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 1, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with CSS and Machine Learning, integrating campaign data from GraphQL.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the DevOps team regularly. Complete this by engineering.",high,6,"CSS, Machine Learning, GraphQL, DevOps",11/11/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Figma and ETL to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Pandas and Azure teams to finalize metrics.
The project is due by marketing.",high,3,"Figma, ETL, Pandas, Azure",11/14/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Power BI and TensorFlow, integrating campaign data from NLP.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the AWS team regularly. Complete this by design.",medium,4,"Power BI, TensorFlow, NLP, AWS",11/25/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
